gene,logfc,pval_adj,cluster
RPS12,1.0510278,2.570841004676124e-226,0
LDHB,2.686862,1.6453846344648298e-221,0
RPS25,1.1847123,2.2668930857942427e-205,0
RPS27,1.0215752,2.1080853843797932e-191,0
RPS6,0.8553188,6.039779224500944e-186,0
RPS3,0.8679435,9.601482521629226e-184,0
CD3D,3.235707,1.9892370013176948e-175,0
RPS14,0.7581313,5.781336147656396e-169,0
RPL31,1.1305594,6.814505552832156e-168,0
TPT1,0.9417509,2.511665115472568e-167,0
RPL3,0.8550325,1.5635943443427287e-163,0
RPL30,1.0087931,7.150988954764297e-162,0
RPS27A,1.3054768,3.782610783641591e-157,0
RPL32,0.73413527,4.0368388005706384e-157,0
RPL9,1.1027105,7.473832717056625e-157,0
RPS15A,0.9435411,3.332631599521909e-155,0
RPS18,0.76144725,1.1264029030077907e-150,0
RPS29,1.3405948,1.3645821143855346e-150,0
RPLP2,0.83210546,7.573870134547858e-150,0
RPL27A,0.8337383,1.0889293423884669e-147,0
EEF1A1,0.725036,1.3053134828889068e-147,0
RPL13,0.7150368,1.0089369325537785e-144,0
RPL23A,0.878062,3.814330526645056e-136,0
RPL13A,0.68205136,2.78276428321681e-135,0
RPL21,0.8626802,9.374431819552562e-130,0
RPS3A,1.0827738,1.9022878378917264e-129,0
LTB,2.4859672,5.4959174299891357e-129,0
RPSA,1.1442101,1.226896020845469e-122,0
RPS20,1.0601786,4.682536043515303e-122,0
RPL35A,0.7887812,5.28507929955194e-122,0
RPL11,0.58974016,7.837620115899121e-122,0
RPS13,0.95757383,1.6351714561580735e-120,0
CD3E,2.604374,1.6250817316987132e-119,0
RPS4X,0.6739213,2.2052784373529778e-119,0
RPS28,0.8516541,2.244613202929738e-117,0
RPL14,0.6986722,2.6035857466005003e-107,0
IL32,2.546581,2.9633154430938e-107,0
RPLP0,1.0130705,4.310771682694349e-105,0
RPL36,0.9173471,3.8689073464212084e-104,0
RPS10,0.8184077,1.8009373035470083e-103,0
RPL10,0.47217742,1.2877290898800017e-102,0
IL7R,2.7498884,2.3582552823302612e-101,0
RPL5,0.85097635,1.488621116801762e-100,0
RPS23,0.8006699,6.613890004146778e-98,0
MALAT1,0.8507418,2.0813257516077485e-97,0
RPS16,0.6965818,8.180597284521593e-97,0
JUNB,1.1777277,8.980205200505271e-97,0
NPM1,1.2812068,6.757264890328313e-94,0
TMEM66,1.4485605,8.450163723249582e-88,0
RPL10A,0.7083398,2.528985816591346e-87,0
RPL19,0.54532385,7.247852317501827e-87,0
RPL36A,0.96750057,6.254981539451927e-83,0
NOSIP,2.2763872,5.285310695573204e-82,0
RPS15,0.53120637,2.024629841669149e-71,0
RPL18,0.6363338,1.4857039875897472e-70,0
RPL17,0.69458365,1.5130474072207476e-70,0
RPS5,0.71028686,1.0047217558597446e-69,0
RPS2,0.4568167,1.2677533121757466e-69,0
RPS26,0.9453119,8.456755546236832e-68,0
RPS8,0.63109815,6.49340186262471e-67,0
RPL4,0.71595985,1.9240467538290584e-65,0
RPLP1,0.4763148,4.73791788733075e-64,0
RPL7,0.6942403,8.879634025040277e-62,0
RPS21,1.0083311,4.454450670046642e-61,0
BTG1,1.0159711,4.317523773498526e-59,0
RPL38,0.88077956,1.2120957129426978e-57,0
RPL35,0.62860143,1.4140929555183035e-57,0
GLTSCR2,1.0162306,5.9278270412847995e-56,0
RPL22,1.02621,6.587423876116664e-56,0
RPL24,0.6568668,2.864321164261655e-54,0
EEF1B2,0.8758734,6.430094258648346e-54,0
AES,1.642938,8.850995651621995e-54,0
RPSAP58,1.1335824,2.0783917588141312e-53,0
RPS19,0.5055675,1.1369202719775022e-50,0
CD2,2.152311,9.183362751535072e-50,0
RPL18A,0.46124008,1.0820228246716027e-49,0
RPL27,0.5901358,4.4179510614247697e-48,0
HINT1,1.227188,4.477768017076623e-47,0
RPL37,0.66877204,1.1831826684319143e-46,0
RPL37A,0.63950086,3.8832211811893175e-45,0
RPS7,0.46482864,2.1543871015503452e-44,0
GIMAP7,1.389771,1.1443011250784986e-43,0
RPL6,0.38903147,3.7351392877738445e-43,0
RPL7A,0.5092156,9.75366105644156e-43,0
CD7,1.7478839,1.5244522995523216e-42,0
LCK,1.7923015,5.2239951832341856e-42,0
JUN,1.0852801,2.019744894710357e-41,0
RPL34,0.7672879,1.2390039807034277e-40,0
CD27,2.4081504,2.9210065740043825e-40,0
RPL28,0.38147864,1.2167753841698001e-39,0
RPS4Y1,0.74279416,2.7689177411271928e-39,0
PIK3IP1,2.337586,1.4124663778531484e-38,0
CCR7,3.0623343,1.4948877450540152e-38,0
RPL12,0.42085356,1.5863773083169975e-38,0
EVL,1.2949327,1.7900420913196895e-38,0
ZFP36L2,1.146507,8.215933512508878e-38,0
TOMM7,0.8500483,1.2665447536836513e-33,0
TMEM123,1.3754131,1.3194095257063127e-33,0
HSPA8,1.0208526,1.508400274335698e-32,0
LEF1,3.3878398,1.1271979305924037e-31,0
RPL15,0.32394865,2.1440399063377545e-31,0
PRDX2,1.718816,5.359298738591569e-29,0
GIMAP5,1.7622087,5.729188192182843e-29,0
TRAT1,2.8679383,1.0460003739091483e-28,0
CD3G,2.1095872,3.3099894838268033e-28,0
TCF7,2.1011534,5.195944413205862e-28,0
RPL26,0.3377358,8.144690153474765e-28,0
PRKCQ-AS1,2.9164035,1.0368348805428858e-27,0
RGCC,2.0629208,2.329816253593095e-27,0
AQP3,2.9080708,3.2243869316222086e-27,0
EIF4A2,0.9437531,6.766992874956374e-27,0
C6orf48,1.0698608,7.358408462410441e-27,0
MAL,4.0289364,7.471558728517656e-26,0
MYL12A,0.70023245,1.3004353383341173e-25,0
DDX5,0.75198495,1.1455590199917616e-24,0
TRAF3IP3,1.1003482,1.2956758348508369e-24,0
LEPROTL1,1.7408383,7.162463395245988e-24,0
HNRNPA1,0.5198541,8.897590569085881e-24,0
SOD1,1.0227886,1.809936540047614e-23,0
DNAJB1,1.5431111,2.0192410555150682e-22,0
FYB,1.243616,8.46006911540047e-22,0
CD69,1.279121,1.702458917621506e-21,0
RHOH,1.6506627,2.659269358526716e-21,0
SPOCK2,1.890083,8.869970690687196e-21,0
FLT3LG,2.3126924,1.051589512478918e-20,0
RPL29,0.33835205,1.053081820325366e-20,0
PEBP1,1.1610732,2.3646008676301922e-20,0
ACAP1,1.3767909,4.602266683934402e-20,0
C12orf57,1.3957137,6.802512525459755e-20,0
CXCR4,0.918307,8.088468869578217e-20,0
LAT,1.7312889,3.383621520925522e-19,0
IFITM1,0.99640316,4.839424539840585e-19,0
FOS,0.5356967,2.263827349595462e-18,0
OCIAD2,1.5630189,4.284361207237575e-16,0
SNRPD2,0.76639324,6.298822217419549e-16,0
GIMAP4,0.9351777,6.765570459297812e-16,0
RGS10,0.95143193,7.100919266248773e-16,0
ARHGAP15,1.2993544,8.623631835737888e-16,0
RPL8,0.31914875,1.358851466876231e-15,0
SRSF5,0.6115095,1.8846313244037933e-15,0
NDFIP1,1.1527468,1.9156825214141305e-15,0
GNB2L1,0.3118914,3.163895685232023e-15,0
LDLRAP1,2.7794259,6.438956243325525e-15,0
BTG2,1.0623621,8.823914455079044e-15,0
COMMD6,0.6923577,1.6412118743279055e-14,0
COX7C,0.62609744,1.752303927698866e-14,0
CD40LG,3.3367703,4.297729114283186e-14,0
RARRES3,0.8312354,9.182514240479575e-14,0
FXYD5,0.6333947,2.418891037263241e-13,0
SLC2A3,1.349783,2.9968712324708106e-13,0
PABPC1,0.4502941,8.323298261812143e-13,0
IL2RG,0.8401436,8.351460073009193e-13,0
SELL,0.7770373,2.5567792520493815e-12,0
GYPC,1.1117688,3.001051265037593e-12,0
SUSD3,2.1432936,4.419750638115435e-12,0
RPL36AL,0.52958995,1.3851503906814362e-11,0
TSC22D3,0.5609417,2.295958374562464e-11,0
PPA1,0.98501915,3.922476918017668e-11,0
RPL41,0.65260637,8.114376309050033e-11,0
ITM2A,2.1422222,1.0980785666671132e-10,0
NGFRAP1,2.940084,2.1155014602595794e-10,0
MZT2A,1.1108733,3.2032135760137624e-10,0
AAK1,1.7783892,5.945478759952031e-10,0
EEF1D,0.2525954,9.528886257544398e-10,0
ST13,0.7796045,1.3846206334804297e-09,0
PTPRCAP,0.8125862,1.5036239394767177e-09,0
TRABD2A,2.841691,1.535682706394496e-09,0
SOCS3,1.5541198,1.535682706394496e-09,0
TTC39C,1.9388667,2.5237587744391513e-09,0
ITM2B,0.49620712,3.174832505900113e-09,0
OXNAD1,2.0720677,6.231675603574584e-09,0
MZT2B,0.7846474,6.231675603574584e-09,0
MYC,1.6422862,9.695765947566534e-09,0
PSIP1,1.3220855,1.3950237227081091e-08,0
ANKRD12,0.90129787,1.480805269736285e-08,0
CALM1,0.5238959,1.6978639491481792e-08,0
CCDC109B,0.8450949,2.6665516325534872e-08,0
BIN1,1.0065734,2.675111879123087e-08,0
HMGN1,0.6046164,3.4948529558501546e-08,0
SEPT1,1.075765,3.682920942001334e-08,0
SIT1,1.5877659,4.561701905730993e-08,0
CD6,2.0880516,7.449658458730903e-08,0
FHIT,3.1015773,1.045954059228784e-07,0
MGAT4A,1.7783858,1.0947136798169832e-07,0
SH3YL1,2.2808645,1.399928498575446e-07,0
NBEAL1,0.4909714,1.7519892753536813e-07,0
GSTK1,0.5513924,2.1643098831234533e-07,0
TNFAIP8,0.94118476,2.8648888172692747e-07,0
VAMP2,0.58944434,5.198476994172334e-07,0
RCAN3,2.009893,6.621492285498192e-07,0
LINC00176,4.8724813,7.054874351865376e-07,0
TMA7,0.48259076,8.458027186576214e-07,0
COX6C,0.6060956,8.951806297421674e-07,0
EIF3E,0.6887551,9.949832569737224e-07,0
RPL23,0.37017787,1.0367287548789956e-06,0
CMPK1,0.67873996,1.1305057945868726e-06,0
BEX2,1.8525039,1.1801095102443395e-06,0
CYTIP,0.71282834,2.295565173536075e-06,0
SELM,1.8990444,2.3259849437612954e-06,0
PBXIP1,1.2438005,2.575365860883379e-06,0
NACA,0.25730166,2.9918660876845183e-06,0
RGL4,1.8533182,3.134252265133182e-06,0
